method,family,target_size,aggregation,subset,selected_for_qubo_gate,inner_cv_mean_roc_auc,inner_cv_mean_pr_auc,inner_cv_mean_bedroc_alpha_20,inner_cv_selection_metric_std,config,fit_details
single_best,single_best,1,min_score,MK14_3KQ7_aligned,False,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"{""aggregation"": ""min_score"", ""family"": ""single_best"", ""target_size"": 1}",{}
exhaustive,exhaustive,1,min_score,MK14_3KQ7_aligned,False,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"{""aggregation"": ""min_score"", ""family"": ""exhaustive"", ""target_size"": 1}",{}
greedy,greedy,1,min_score,MK14_3KQ7_aligned,False,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"{""aggregation"": ""min_score"", ""family"": ""greedy"", ""target_size"": 1}",{}
all_receptors,all_receptors,4,mean_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3K3J_aligned+MK14_3KQ7_aligned,False,0.730625,0.7452640002551502,0.8526189557954231,0.20265508697307968,"{""aggregation"": ""mean_score"", ""family"": ""all_receptors"", ""target_size"": 4}",{}
coverage_qubo,coverage_qubo,1,min_score,MK14_3KQ7_aligned,True,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 1, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}","{""coefficients"": {""constant"": 20.0, ""convention"": ""Q(x)=constant+sum_i linear[i]*x_i+sum_i<j quadratic[i__j]*x_i*x_j"", ""exact_search"": {""full_state_count"": 16, ""method"": ""target_cardinality_with_global_lower_bound_certificate"", ""minimum_outside_cardinality_lower_bound"": 18.097138117255682, ""states_evaluated"": 4}, ""linear"": {""MK14_1A9U_aligned"": -20.0, ""MK14_2QD9_reference"": -20.69558439034308, ""MK14_3K3J_aligned"": -20.902861882744318, ""MK14_3KQ7_aligned"": -21.0}, ""quadratic"": {""MK14_1A9U_aligned__MK14_3K3J_aligned"": 40.0, ""MK14_1A9U_aligned__MK14_3KQ7_aligned"": 40.0, ""MK14_2QD9_reference__MK14_1A9U_aligned"": 40.0, ""MK14_2QD9_reference__MK14_3K3J_aligned"": 40.0, ""MK14_2QD9_reference__MK14_3KQ7_aligned"": 40.0, ""MK14_3K3J_aligned__MK14_3KQ7_aligned"": 40.0}, ""size_penalty"": 20.0, ""target_size"": 1, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}, ""energy"": -1.0}"
discriminative_qubo,discriminative_qubo,1,min_score,MK14_3KQ7_aligned,False,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"{""aggregation"": ""min_score"", ""family"": ""discriminative_qubo"", ""target_size"": 1, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.5, ""redundancy"": 0.0}}","{""coefficients"": {""constant"": 20.0, ""convention"": ""Q(x)=constant+sum_i linear[i]*x_i+sum_i<j quadratic[i__j]*x_i*x_j"", ""exact_search"": {""full_state_count"": 16, ""method"": ""target_cardinality_with_global_lower_bound_certificate"", ""minimum_outside_cardinality_lower_bound"": 18.197138117255683, ""states_evaluated"": 4}, ""linear"": {""MK14_1A9U_aligned"": -19.5, ""MK14_2QD9_reference"": -20.395584390343082, ""MK14_3K3J_aligned"": -20.802861882744317, ""MK14_3KQ7_aligned"": -21.0}, ""quadratic"": {""MK14_1A9U_aligned__MK14_3K3J_aligned"": 40.0, ""MK14_1A9U_aligned__MK14_3KQ7_aligned"": 40.0, ""MK14_2QD9_reference__MK14_1A9U_aligned"": 40.0, ""MK14_2QD9_reference__MK14_3K3J_aligned"": 40.0, ""MK14_2QD9_reference__MK14_3KQ7_aligned"": 40.0, ""MK14_3K3J_aligned__MK14_3KQ7_aligned"": 40.0}, ""size_penalty"": 20.0, ""target_size"": 1, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.5, ""redundancy"": 0.0}}, ""energy"": -1.0}"
