matrix,target_size,aggregation,subset,ligand_count,active_count,roc_auc,pr_auc_average_precision,bedroc_alpha_20,EF1%,EF5%,EF10%,top10_active_count
sensitivity,2,mean_score,MK14_2QD9_reference+MK14_3K3J_aligned,80,40,0.799375,0.8359365917054111,0.9830073701274349,2.0,2.0,2.0,10
sensitivity,2,mean_score,MK14_2QD9_reference+MK14_3KQ7_aligned,80,40,0.779375,0.8171029171328692,0.9827978990913774,2.0,2.0,2.0,10
sensitivity,2,mean_score,MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.729375,0.7773213641188194,0.9614478911107431,2.0,2.0,2.0,10
sensitivity,2,mean_score,MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.694375,0.7448202478768882,0.9525800243054885,2.0,2.0,2.0,9
sensitivity,2,mean_score,MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.708125,0.7506867308527232,0.9388518034915094,2.0,2.0,2.0,9
sensitivity,3,min_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.7825,0.832715924520555,0.9904358317553181,2.0,2.0,2.0,10
sensitivity,3,min_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.77625,0.8281385215685185,0.9904076230504673,2.0,2.0,2.0,10
sensitivity,3,min_score,MK14_2QD9_reference+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.793125,0.8347234614781476,0.9896377636982147,2.0,2.0,2.0,10
sensitivity,3,min_score,MK14_1A9U_aligned+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.71375,0.7673949031875282,0.9701540897657952,2.0,2.0,2.0,10
sensitivity,3,mean_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.78375,0.8315303117174497,0.990892750887604,2.0,2.0,2.0,10
sensitivity,3,mean_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.773125,0.8216548366395104,0.9864167176655447,2.0,2.0,2.0,10
sensitivity,3,mean_score,MK14_2QD9_reference+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.79,0.8222168873914611,0.9756300544982361,2.0,2.0,2.0,10
sensitivity,3,mean_score,MK14_1A9U_aligned+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.718125,0.7650072744435964,0.9568557416755571,2.0,2.0,2.0,9
