method,family,target_size,aggregation,mean_inner_roc_auc,mean_inner_pr_auc,mean_inner_bedroc_alpha_20,selection_metric_std,inner_subsets,config
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 1.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.750625,0.7641848214207773,0.8668335330172993,0.17748565329337687,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 1.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 1.0, ""decoy_exposure"": 0.0, ""redundancy"": 1.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.750625,0.7641848214207773,0.8668335330172993,0.17748565329337687,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 1.0, ""decoy_exposure"": 0.0, ""redundancy"": 1.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 1.0, ""decoy_exposure"": 0.0, ""redundancy"": 2.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.750625,0.7641848214207773,0.8668335330172993,0.17748565329337687,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 1.0, ""decoy_exposure"": 0.0, ""redundancy"": 2.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 2.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.750625,0.7641848214207773,0.8668335330172993,0.17748565329337687,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 2.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 2.0, ""decoy_exposure"": 0.0, ""redundancy"": 1.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.750625,0.7641848214207773,0.8668335330172993,0.17748565329337687,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 2.0, ""decoy_exposure"": 0.0, ""redundancy"": 1.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 2.0, ""decoy_exposure"": 0.0, ""redundancy"": 2.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.750625,0.7641848214207773,0.8668335330172993,0.17748565329337687,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 0.0, ""active_overlap"": 2.0, ""decoy_exposure"": 0.0, ""redundancy"": 2.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.70625,0.7429580957974257,0.8715414744191197,0.17188246016371012,"[[""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 1.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.708125,0.744238975595318,0.8699571347419888,0.17720298932239356,"[[""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 1.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.0, ""redundancy"": 0.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 1.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.0, ""redundancy"": 1.0}}"
coverage_qubo,coverage_qubo,2,mean_score,0.750625,0.7641848214207773,0.8668335330172993,0.17748565329337687,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 1.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.0, ""redundancy"": 1.0}}"
coverage_qubo,coverage_qubo,2,min_score,0.77125,0.7749069327124573,0.8688015572507797,0.1089181513364267,"[[""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""coverage_qubo"", ""target_size"": 2, ""weights"": {""active_coverage"": 1.0, ""active_overlap"": 0.0, ""decoy_exposure"": 0.0, ""redundancy"": 2.0}}"
