case_id,conformer_id,reference_ligand,reference_sdf,reference_sdf_sha256,ligand_pdbqt,ligand_pdbqt_sha256,vina_config,vina_config_sha256,docked_pdbqt,docked_pdbqt_sha256,pose_count,top_ranked_affinity_kcal_per_mol,top_ranked_rmsd_angstrom,top_ranked_pose_success,best_rmsd_pose_rank,best_rmsd_angstrom,any_pose_success
MK14_2QD9_LGF,MK14_2QD9_reference,LGF,results/runs/stage05_mk14_redocking/reference_ligands/2QD9_LGF_A_361_common_frame.sdf,2F6E3F200B21039B60EF37750DFD7914C826C284A57472C5CFBBAC06FF7F7A57,results/runs/stage05_mk14_redocking/prepared_ligands/2QD9_LGF_A_361.pdbqt,56D639502BF9E5E940418C336BA9DD074F36043B89BCADD96E49ACC7028813E1,configs/stage05_mk14_2QD9_LGF_redocking_vina.txt,5374EFF560212963C061852CDBEF5FA4E2BFE6F8BE634D201A976CD4BBF05948,results/runs/stage05_mk14_redocking/docking/2QD9_LGF_redocked.pdbqt,7888C92BFB165DB8F40546AA2EB02E0694289B7725E9D9D75125EE159DE90F87,20,-10.413,1.618393,true,14,1.200997,true
MK14_1A9U_SB2,MK14_1A9U_aligned,SB2,results/runs/stage05_mk14_redocking/reference_ligands/1A9U_SB2_A_800_common_frame.sdf,9B124B8C8C5C66BC4E35DA2F4AD702F177B5E95BA8D2C8C39E9AE3A12899DE89,results/runs/stage05_mk14_redocking/prepared_ligands/1A9U_SB2_A_800.pdbqt,BAAC1978607A1D3C21B6CF0516091EB6FA4A834C8739C62A3E96043D76EE14E7,configs/stage05_mk14_1A9U_SB2_redocking_vina.txt,C7F90ED4F506A43BBED26BA4A9B194CC68C27C9B92F4036130C8A0296005C902,results/runs/stage05_mk14_redocking/docking/1A9U_SB2_redocked.pdbqt,31EE3C23743A0E5B697EB9F78595C845A55D18E52E951F65754E358AF17DE840,19,-9.309,0.470516,true,1,0.470516,true
MK14_3K3J_F4C,MK14_3K3J_aligned,F4C,results/runs/stage05_mk14_redocking/reference_ligands/3K3J_F4C_A_361_common_frame.sdf,BCAFAB2F8D7DD0F4603803819EBF20E92FE39C1E5EC7574D6AB5C7F494D1D087,results/runs/stage05_mk14_redocking/prepared_ligands/3K3J_F4C_A_361.pdbqt,FA022CE25719A3ED8B901CCD609247F4153DF6071CB77C247D3338DD8A3D4624,configs/stage05_mk14_3K3J_F4C_redocking_vina.txt,3B67E7BAED4C43171B5EBD17AAE9C35A4214B85D6B52172DA36E46D89CC61DCF,results/runs/stage05_mk14_redocking/docking/3K3J_F4C_redocked.pdbqt,EE1C2B02E98609290DACF07F72DD7B5BC0D4ACAAC1E42FAFDBF66E53C71889AA,20,-10.991,0.471236,true,1,0.471236,true
MK14_3KQ7_KQ7,MK14_3KQ7_aligned,KQ7,results/runs/stage05_mk14_redocking/reference_ligands/3KQ7_KQ7_A_361_common_frame.sdf,3ECFF7A1A2C4C95DF2E3373D3FE6BD475E820A11D0CD153A3A17EC89792A48EE,results/runs/stage05_mk14_redocking/prepared_ligands/3KQ7_KQ7_A_361.pdbqt,43E1DF0B1E244E4EFA6E62E400E71385456B646D64C611DE5C6575E04DC55839,configs/stage05_mk14_3KQ7_KQ7_redocking_vina.txt,B09B9A48F0262F3D0063315AC0614D6CA30DDB4EEC657EA66C34D545B2B9D8C4,results/runs/stage05_mk14_redocking/docking/3KQ7_KQ7_redocked.pdbqt,01E3C1B38C319AB0C70912B6D4832108636949A6A3E05252E6E5A4901D831AEC,20,-12.749,1.185616,true,2,1.144444,true
