conformer_id,pdb_path,pdb_sha256,chain,source_type,role,alignment_summary,alignment_summary_sha256
MK14_2QD9_reference,receptors/raw/mk14/2QD9.pdb,BDA572D8710F5E841A77F46DAB6D98053B152DFC5484B9D043CC3EC5EC8A01D6,A,crystal,dude_reference_dfg1,,
MK14_3KQ7_aligned,results/runs/stage05_mk14_alignment/3KQ7_A_to_2QD9_A.pdb,4B27AA3EFF052035330556E060C94FAA0184CD34E691DE41ED9ADB2F44110428,A,crystal,dude_secondary_dfg2,results/runs/stage05_mk14_alignment/3KQ7_A_to_2QD9_A_summary.json,965FFE7DAADBEEBEDE71B9508921AB7FE1DF44F25CA35172380E85748368AF68
MK14_1A9U_aligned,results/runs/stage05_mk14_alignment/1A9U_A_to_2QD9_A.pdb,A81F912D68F06A9FAC178B5B6204F812903F14F043B8E6FD8419503B7617636B,A,crystal,orthosteric_atp_site,results/runs/stage05_mk14_alignment/1A9U_A_to_2QD9_A_summary.json,EF9454EE2200D04BCF29CC83FB79BCAC88904D1C17C8DF0FB42E81BD089DB51B
MK14_3K3J_aligned,results/runs/stage05_mk14_alignment/3K3J_A_to_2QD9_A.pdb,486E2EBA7CD5CCD3A6587E9D01B6A63B83E787B53A65C255E3D7B921ABBB93B1,A,crystal,dfg_out,results/runs/stage05_mk14_alignment/3K3J_A_to_2QD9_A_summary.json,D93137154A768F0DB1C8D5F29FF3494973B206824884AA140806897F2E3332BE
