method,target_count,mean_test_bedroc_alpha_20,mean_test_roc_auc,mean_test_pr_auc_average_precision,mean_test_EF1%,mean_test_EF5%,mean_test_EF10%
greedy,5,0.7128593623502678,0.7977083333333332,0.5933470162690421,4.2,3.9666666666666663,3.35
linear,5,0.6945533365448621,0.7942621527777778,0.5822324680378343,4.2,3.8,3.25
qubo,5,0.7041913806012859,0.7967795138888889,0.5888419149074576,4.1,3.9,3.3333333333333335
single,5,0.6616690428340656,0.7915104166666667,0.5655651866768345,4.0,3.5666666666666673,3.0666666666666664
