target_id,comparison,metric,mean_delta,worst_fold_delta,best_fold_delta,positive_fold_fraction,fold_deltas
MK14,qubo_minus_single,EF10%,0.3333333333333332,0.0,0.833333333333333,0.6,0.416667|0.000000|0.833333|0.416667|0.000000
MK14,qubo_minus_linear,bedroc_alpha_20,0.03567160499748245,0.0,0.17835802498741227,0.2,0.000000|0.000000|0.178358|0.000000|0.000000
MK14,qubo_minus_linear,roc_auc,0.013888888888888885,0.0,0.06944444444444442,0.2,0.000000|0.000000|0.069444|0.000000|0.000000
MK14,qubo_minus_linear,pr_auc_average_precision,0.030881007008704553,0.0,0.15440503504352276,0.2,0.000000|0.000000|0.154405|0.000000|0.000000
MK14,qubo_minus_linear,EF1%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
MK14,qubo_minus_linear,EF5%,0.33333333333333337,0.0,1.666666666666667,0.2,0.000000|0.000000|1.666667|0.000000|0.000000
MK14,qubo_minus_linear,EF10%,0.25,0.0,1.25,0.2,0.000000|0.000000|1.250000|0.000000|0.000000
MK14,qubo_minus_greedy,bedroc_alpha_20,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
MK14,qubo_minus_greedy,roc_auc,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
MK14,qubo_minus_greedy,pr_auc_average_precision,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
MK14,qubo_minus_greedy,EF1%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
MK14,qubo_minus_greedy,EF5%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
MK14,qubo_minus_greedy,EF10%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
PPARA,qubo_minus_single,bedroc_alpha_20,0.08953696139459955,-0.01580453140451621,0.2559523873815568,0.6,-0.015805|0.166137|0.041400|0.255952|0.000000
PPARA,qubo_minus_single,roc_auc,0.00013020833333332593,-0.01519097222222221,0.02712673611111116,0.2,-0.002604|-0.015191|-0.008681|0.027127|0.000000
PPARA,qubo_minus_single,pr_auc_average_precision,0.039412691800335284,-0.01632905833273479,0.14416617579295726,0.4,-0.016329|0.075171|-0.005945|0.144166|0.000000
PPARA,qubo_minus_single,EF1%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
PPARA,qubo_minus_single,EF5%,0.8333333333333334,0.0,1.666666666666667,0.6,0.000000|1.666667|0.833333|1.666667|0.000000
PPARA,qubo_minus_single,EF10%,0.5,-0.41666666666666696,1.6666666666666665,0.6,-0.416667|0.833333|0.416667|1.666667|0.000000
PPARA,qubo_minus_linear,bedroc_alpha_20,-0.0021976569639161614,-0.010988284819580807,0.0,0.0,0.000000|0.000000|0.000000|-0.010988|0.000000
PPARA,qubo_minus_linear,roc_auc,-0.002777777777777768,-0.01388888888888884,0.0,0.0,0.000000|0.000000|0.000000|-0.013889|0.000000
