target_id,outer_fold,method,selected_k,selected_receptors,outer_bedroc_alpha20,gain_over_single,uses_outer_labels_for_selection
FA10,2,one_standard_error_smallest_k,1,FA10_2PHB_aligned,0.825333180275511,0.0,False
FA10,2,sequential_paired_marginal_lcb,1,FA10_2PHB_aligned,0.825333180275511,0.0,False
FA10,2,outer_oracle_k,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8283454719343823,0.003012291658871402,True
FA10,3,single,1,FA10_5K0H_aligned,0.8599183830497894,0.0,False
FA10,3,fixed_k2,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8828814823731258,0.0229630993233364,False
FA10,3,fixed_k3,3,FA10_2PHB_aligned+FA10_5K0H_aligned+FA10_1LPZ_aligned,0.8664602037547565,0.006541820704967116,False
FA10,3,maximum_inner_mean,3,FA10_2PHB_aligned+FA10_5K0H_aligned+FA10_1LPZ_aligned,0.8664602037547565,0.006541820704967116,False
FA10,3,one_standard_error_smallest_k,1,FA10_5K0H_aligned,0.8599183830497894,0.0,False
FA10,3,sequential_paired_marginal_lcb,3,FA10_2PHB_aligned+FA10_5K0H_aligned+FA10_1LPZ_aligned,0.8664602037547565,0.006541820704967116,False
FA10,3,outer_oracle_k,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8828814823731258,0.0229630993233364,True
FA10,4,single,1,FA10_2PHB_aligned,0.7418243893162758,0.0,False
FA10,4,fixed_k2,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.802997045692776,0.061172656376500156,False
FA10,4,fixed_k3,3,FA10_2PHB_aligned+FA10_5K0H_aligned+FA10_2W3K_aligned,0.7847863085363217,0.042961919220045885,False
FA10,4,maximum_inner_mean,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.802997045692776,0.061172656376500156,False
FA10,4,one_standard_error_smallest_k,1,FA10_2PHB_aligned,0.7418243893162758,0.0,False
FA10,4,sequential_paired_marginal_lcb,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.802997045692776,0.061172656376500156,False
FA10,4,outer_oracle_k,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.802997045692776,0.061172656376500156,True
FA10,5,single,1,FA10_5K0H_aligned,0.797598889742422,0.0,False
FA10,5,fixed_k2,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8304307874426962,0.03283189770027417,False
FA10,5,fixed_k3,3,FA10_2PHB_aligned+FA10_5K0H_aligned+FA10_2W3K_aligned,0.8042430313678309,0.006644141625408939,False
FA10,5,maximum_inner_mean,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8304307874426962,0.03283189770027417,False
FA10,5,one_standard_error_smallest_k,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8304307874426962,0.03283189770027417,False
FA10,5,sequential_paired_marginal_lcb,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8304307874426962,0.03283189770027417,False
FA10,5,outer_oracle_k,2,FA10_2PHB_aligned+FA10_5K0H_aligned,0.8304307874426962,0.03283189770027417,True
